athlete_id,first,last,gender,event_group,tfrrs_url
110,Collin,Schulz,M,jumps,https://www.tfrrs.org/athletes/8690919/Milwaukee/Collin_Schulz.html
111,Katie,Sciarini,W,sprints,https://www.tfrrs.org/athletes/8016732/Milwaukee/Katie_Sciarini.html
112,Finnegan,Shields,M,throws,https://www.tfrrs.org/athletes/7712277/Milwaukee/Finnegan_Shields.html
113,Dylan,Sieloff,M,jumps,https://www.tfrrs.org/athletes/7712268/Milwaukee/Dylan_Sieloff.html
114,Alexandria,Simmons,W,jumps,https://www.tfrrs.org/athletes/8690930/Milwaukee/Alexandria_Simmons.html
115,Jade,Sok,W,jumps,https://www.tfrrs.org/athletes/8690931/Milwaukee/Jade_Sok.html
116,Hailey,Soriaga,W,jumps,https://www.tfrrs.org/athletes/8997155/Milwaukee/Hailey_Soriaga_.html
117,Tori,Spagnola,W,sprints,https://www.tfrrs.org/athletes/9265428/Milwaukee/Tori_Spagnola.html
118,Jack,Statz,M,sprints,https://www.tfrrs.org/athletes/8690915/Milwaukee/Jackson_Statz.html
119,Nick,Stugelmeyer,M,sprints,https://www.tfrrs.org/athletes/6116613/Milwaukee/Nick_Stugelmeyer.html
120,Anna,Szepieniec,W,multi,https://www.tfrrs.org/athletes/8690932/Milwaukee/Anna_Szepieniec.html
121,Lily,Taczala,W,jumps,https://www.tfrrs.org/athletes/8997156/Milwaukee/Lily_Taczala.html
122,Nathan,Taylor,M,sprints,https://www.tfrrs.org/athletes/8997147/Milwaukee/Nathan_Taylor.html
123,Lucas,Thibert,M,jumps,https://www.tfrrs.org/athletes/8329557/Milwaukee/Lucas_Thibert.html
124,Taylor,Thimmesch,W,sprints,https://www.tfrrs.org/athletes/8997157/Milwaukee/Taylor_Thimmesch.html
125,Dominique,Thomas,W,sprints,https://www.tfrrs.org/athletes/8016733/Milwaukee/Dominique_Thomas.html
126,Caden,Thomas,M,jumps,https://www.tfrrs.org/athletes/8329558/Milwaukee/Caden_Thomas.html
127,Bradyn,Thomas,M,jumps,https://www.tfrrs.org/athletes/9265415/Milwaukee/Bradyn_Thomas.html
