athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,SP,10.07,,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,LJ,5.36,,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,800,,2:20.69,
8,Panther Tune-Up,2023-02-18,60H,,8.43,
8,Panther Tune-Up,2023-02-18,60H,,8.38,
8,Panther Tune-Up,2023-02-18,HJ,1.55,,
8,Panther Tune-Up,2023-02-18,SP,9.81,,
8,GVSU Big Meet (Friday),2023-02-10,200,,24.57,
8,GVSU Big Meet (Friday),2023-02-10,400,,55.30,
8,GVSU Big Meet (Friday),2023-02-10,60H,,8.47,
8,GVSU Big Meet (Friday),2023-02-10,60H,,8.44,
8,GVSU Big Meet (Friday),2023-02-10,HJ,1.53,,
8,Mark Guthrie Legacy Invitational,2023-02-04,200,,24.93,
8,Mark Guthrie Legacy Invitational,2023-02-04,60H,,8.43,
8,Mark Guthrie Legacy Invitational,2023-02-04,60H,,8.45,
8,Jack Johnson Classic,2023-01-27,60H,,8.44,
8,Jack Johnson Classic,2023-01-27,60H,,8.50,
8,Jack Johnson Classic,2023-01-27,Pent,,3580,
8,Jack Johnson Classic,2023-01-27,60H,,8.45,
8,Jack Johnson Classic,2023-01-27,HJ,1.45,,
8,Jack Johnson Classic,2023-01-27,SP,9.08,,
8,Jack Johnson Classic,2023-01-27,LJ,5.55,,
8,Jack Johnson Classic,2023-01-27,800,,2:21.56,
8,John Tierney Classic,2023-01-21,60H,,8.50,
8,John Tierney Classic,2023-01-21,60H,,8.49,
8,John Tierney Classic,2023-01-21,LJ,5.83,,
8,John Tierney Classic,2023-01-21,SP,10.5,,
8,Wisconsin Badgers Midwest Invite,2023-01-14,300,,38.67,
8,Wisconsin Badgers Midwest Invite,2023-01-14,60H,,8.45,
8,Wisconsin Badgers Midwest Invite,2023-01-14,60H,,8.50,
8,Wisconsin Badgers Midwest Invite,2023-01-14,HJ,1.51,,
8,44 Farms Team Invitational,2022-04-08,400H,,59.94,
8,44 Farms Team Invitational,2022-04-08,Hep,,4898,
8,44 Farms Team Invitational,2022-04-08,100H,,13.66,(3.2)
8,44 Farms Team Invitational,2022-04-08,HJ,1.54,,
8,44 Farms Team Invitational,2022-04-08,SP,8.57,,
