athlete_id,season,vertical,slj,stj,sprint_50,ohb,blf,sprint_150
88,2022-23,36.5,3.15,9.28,6.07,12.95,12.81,17.37
34,2022-23,30.2,2.77,8.13,6.21,14.27,12.9,
59,2022-23,27.2,2.56,7.27,6.26,8.56,10.19,18.3
60,2022-23,,,,,,,17.49
90,2022-23,35.4,2.93,8.37,6.0,15.46,14.02,16.51
12,2022-23,29.5,2.68,8.58,6.45,14.61,12.38,17.32
85,2022-23,32.3,2.84,,,13.88,13.31,
5,2022-23,31.2,2.65,7.34,,11.5,11.13,17.85
13,2022-23,32.4,2.71,7.84,6.58,10.37,9.87,18.92
113,2022-23,36.7,,,,,,
123,2022-23,29.9,2.86,8.1,6.97,11.34,11.39,20.39
30,2022-23,32.7,2.8,8.08,6.05,8.59,10.76,17.14
31,2022-23,31.7,2.59,7.46,6.53,13.26,10.5,18.01
47,2022-23,35.6,3.08,9.33,5.98,12.91,12.13,17.41
107,2022-23,28.2,2.67,7.27,6.32,12.16,10.92,17.26
108,2022-23,28.2,2.67,7.27,6.32,12.16,10.92,17.26
1,2022-23,36.3,2.99,8.74,6.0,12.84,12.78,16.57
67,2022-23,34.6,2.91,8.73,6.0,14.36,13.17,17.05
70,2022-23,34.4,3.0,8.33,,12.61,12.14,
26,2022-23,38.9,3.09,9.21,5.82,14.14,14.37,15.89
52,2022-23,27.5,2.3,7.44,6.4,11.45,10.97,17.32
69,2022-23,26.0,2.66,,,11.58,11.4,17.36
131,2022-23,26.8,2.59,7.26,6.77,9.96,9.18,17.59
49,2022-23,22.9,2.19,6.14,7.59,11.98,9.55,
132,2022-23,24.4,2.28,6.47,7.65,12.19,11.02,
149,2022-23,28.1,2.56,6.95,7.11,9.92,12.05,21.08
135,2022-23,26.8,2.51,7.27,6.75,11.51,11.07,20.25
128,2022-23,,2.66,7.27,,,,
18,2022-23,27.5,2.54,7.23,7.52,13.18,12.15,21.68
95,2022-23,30.7,2.77,7.76,6.64,13.27,12.62,18.95
50,2022-23,24.2,2.15,6.18,,,,20.0
37,2022-23,24.3,2.55,6.72,7.08,11.91,12.94,20.34
17,2022-23,24.8,2.35,6.75,6.88,13.98,12.42,19.24
28,2022-23,22.4,2.37,6.65,6.92,11.43,11.05,19.68
111,2022-23,24.9,2.35,6.74,6.9,8.3,11.13,20.33
8,2022-23,30.4,2.69,7.49,6.54,15.26,13.42,17.98
46,2022-23,26.1,2.39,7.12,6.84,12.55,10.71,20.3
96,2022-23,34.1,2.73,,,14.26,13.89,
109,2022-23,24.6,2.38,6.87,6.92,11.84,10.43,19.73
136,2022-23,27.9,2.43,7.16,6.95,12.77,11.64,19.23
71,2022-23,21.0,2.12,6.08,7.77,7.08,9.96,22.21
140,2022-23,24.3,2.31,6.38,7.21,12.88,12.58,20.93
16,2022-23,23.0,2.3,6.55,7.04,8.82,10.19,20.69
68,2022-23,22.6,2.14,6.33,,7.53,10.31,19.91
87,2022-23,27.9,,,6.88,,,20.01
145,2022-23,23.1,2.4,6.62,6.97,9.63,10.48,19.84
102,2022-23,24.3,2.42,7.23,6.6,9.21,10.64,19.2
72,2022-23,29.0,2.42,6.86,6.75,11.91,11.4,19.06
57,2022-23,21.5,2.11,6.47,6.99,10.88,9.32,19.39
125,2022-23,24.2,2.24,6.57,6.45,10.55,10.42,18.19
1,2023-24,37.4,3.01,8.94,6.07,13.67,12.6,16.82
2,2023-24,34.0,3.06,9.27,6.37,15.26,14.97,17.51
5,2023-24,31.6,2.65,7.52,6.46,12.51,11.1,17.69
12,2023-24,28.3,2.59,8.24,6.46,14.5,11.99,18.1
13,2023-24,,,,,,,
14,2023-24,34.1,2.92,8.78,6.4,12.25,11.91,18.82
20,2023-24,43.8,3.28,10.23,6.09,15.8,14.96,
26,2023-24,40.8,3.31,9.32,5.84,15.07,13.74,15.8
27,2023-24,34.2,2.78,8.17,6.26,13.95,12.83,17.36
30,2023-24,29.6,2.76,8.03,6.12,11.15,10.78,16.78
32,2023-24,,3.18,9.52,6.68,13.27,12.26,19.32
47,2023-24,,,,,,,
52,2023-24,28.7,2.65,7.85,6.37,11.63,11.03,17.04
60,2023-24,,,,,,,
67,2023-24,33.7,3.08,8.87,5.99,14.2,13.44,16.79
70,2023-24,37.4,3.0,8.6,6.04,13.17,12.71,16.47
75,2023-24,32.6,2.79,8.24,6.37,8.91,10.48,17.95
76,2023-24,33.2,2.87,8.43,6.26,10.61,11.36,17.42
81,2023-24,34.2,2.99,9.07,,13.34,12.78,18.17
85,2023-24,33.0,2.77,8.4,6.34,14.84,13.98,17.77
88,2023-24,33.9,,,,,,
90,2023-24,36.2,2.85,8.77,6.08,16.55,14.98,
98,2023-24,36.4,2.47,,5.97,,,
100,2023-24,32.8,,,,13.94,14.08,16.94
107,2023-24,30.2,2.65,7.37,6.21,14.09,12.56,16.43
108,2023-24,30.2,2.65,7.37,6.21,14.09,12.56,16.43
110,2023-24,32.7,3.0,8.86,6.26,12.11,12.06,18.04
118,2023-24,32.8,2.75,8.31,6.14,14.71,12.87,16.32
123,2023-24,,,,,,,
126,2023-24,34.9,2.87,8.65,6.64,13.12,14.54,18.39
133,2023-24,36.6,2.97,8.83,6.7,11.97,11.81,18.65
141,2023-24,39.2,2.95,8.36,6.07,12.94,12.87,16.51
143,2023-24,,2.96,8.81,,11.63,12.4,16.68
8,2023-24,30.4,2.61,6.81,6.45,15.63,13.04,18.11
11,2023-24,22.7,2.27,6.99,7.48,13.03,12.4,20.74
16,2023-24,20.5,2.3,6.77,6.98,10.5,10.42,19.93
18,2023-24,25.6,2.44,7.23,7.71,,,
28,2023-24,,,,,,,
37,2023-24,26.4,,,6.8,13.86,12.97,
46,2023-24,24.0,2.38,6.95,7.09,12.27,10.65,20.75
50,2023-24,25.5,2.35,6.6,6.95,10.77,10.89,19.05
64,2023-24,25.0,2.55,7.32,6.91,9.72,10.81,19.51
71,2023-24,21.1,2.25,6.13,7.36,9.74,9.46,22.57
72,2023-24,,,,,,,
77,2023-24,24.9,2.45,7.28,6.78,12.64,11.7,19.08
95,2023-24,27.1,2.6,8.03,6.76,12.52,13.03,19.23
96,2023-24,33.9,2.77,7.73,6.84,14.49,13.52,
99,2023-24,24.8,2.48,7.09,6.87,10.28,10.96,19.64
102,2023-24,28.1,2.52,7.1,6.65,10.07,10.95,19.47
111,2023-24,22.9,2.17,6.27,7.16,10.48,10.55,21.08
114,2023-24,29.6,2.35,7.14,7.07,13.37,13.23,19.67
115,2023-24,24.0,2.45,7.33,7.26,10.92,12.63,20.87
120,2023-24,25.1,2.47,7.29,6.58,12.24,11.67,18.24
